cost_ratio,threshold,loss,FN,FP
1.0,0.94,0.349733301488735,4393,0
1.0,0.95,0.349733301488735,4393,0
2.0,0.05,0.6477987421383647,0,8137
2.0,0.06,0.6445346708064644,0,8096
2.0,0.07,0.638961866093464,0,8026
2.0,0.08,0.630682270519863,0,7922
2.0,0.09,0.6230395669134623,2,7822
2.0,0.1,0.6166706472414617,4,7738
2.0,0.11,0.6113366770161611,6,7667
2.0,0.12,0.6075153252129607,10,7611
2.0,0.13,0.6023405779794603,16,7534
2.0,0.14,0.5980415572008598,24,7464
2.0,0.15,0.5944590398853594,43,7381
2.0,0.16,0.589682350131359,59,7289
2.0,0.17,0.5849056603773585,74,7199
2.0,0.18,0.5814823660536581,89,7126
2.0,0.19,0.5768648992914577,101,7044
2.0,0.2,0.5720882095374572,114,6958
2.0,0.21,0.5677095772629568,124,6883
2.0,0.22,0.5638882254597564,137,6809
2.0,0.23,0.5592707586975559,147,6731
2.0,0.24,0.5544940689435555,161,6643
2.0,0.25,0.550274659660855,181,6550
2.0,0.26,0.5454183584109545,187,6477
2.0,0.27,0.5417562295995542,204,6397
2.0,0.28,0.5352280869357535,214,6295
2.0,0.29,0.5282222752965529,224,6187
2.0,0.3,0.5206591831860521,233,6074
2.0,0.31,0.5141310405222514,243,5972
2.0,0.32,0.509115516280551,256,5883
2.0,0.33,0.5052145529814506,274,5798
2.0,0.34,0.50083592070695,292,5707
2.0,0.35,0.4973330148873497,321,5605
2.0,0.36,0.4927155481251493,342,5505
2.0,0.37,0.48849613884244886,366,5404
2.0,0.38,0.4838786720802484,397,5284
2.0,0.39,0.479977708781148,436,5157
2.0,0.4,0.4750417960353475,467,5033
2.0,0.41,0.47153889021574713,513,4897
2.0,0.42,0.4668418119576467,560,4744
2.0,0.43,0.4669214234535467,627,4611
2.0,0.44,0.4648515245601465,697,4445
2.0,0.45,0.4618262877159462,764,4273
2.0,0.46,0.45848260488814585,836,4087
2.0,0.47,0.45657192898654564,901,3933
2.0,0.48,0.4557758140275456,991,3743
2.0,0.49,0.45593503701934557,1084,3559
2.0,0.5,0.45442241859724547,1192,3324
2.0,0.51,0.45657192898654564,1307,3121
2.0,0.52,0.46166706472414615,1425,2949
2.0,0.53,0.46357774062574636,1531,2761
2.0,0.54,0.4668418119576467,1639,2586
2.0,0.55,0.4728922856460473,1770,2400
2.0,0.56,0.4789427593344479,1893,2230
2.0,0.57,0.4841175065679484,2021,2039
2.0,0.58,0.49191943316614917,2159,1861
2.0,0.59,0.49844757582994986,2285,1691
2.0,0.6,0.5084786243133509,2426,1535
2.0,0.61,0.519305787755752,2566,1391
2.0,0.62,0.530292174189953,2708,1245
2.0,0.63,0.5408805031446541,2851,1092
2.0,0.64,0.5540163999681554,2997,965
2.0,0.65,0.5708144256030571,3157,856
2.0,0.66,0.5833930419552583,3294,740
2.0,0.67,0.5971658307459597,3427,647
2.0,0.68,0.6109386195366611,3558,558
2.0,0.69,0.6185813231430619,3654,462
2.0,0.7,0.6330706153968633,3782,388
2.0,0.71,0.6445346708064644,3896,304
2.0,0.72,0.6521773744128652,3978,236
2.0,0.73,0.660377358490566,4058,179
2.0,0.74,0.6696919035108669,4143,126
2.0,0.75,0.6781307220762678,4213,92
2.0,0.76,0.6841015842687684,4263,67
2.0,0.77,0.6884802165432689,4302,44
2.0,0.78,0.6906297269325691,4322,31
2.0,0.79,0.6929384603136693,4344,16
2.0,0.8,0.6946899132234695,4359,8
2.0,0.81,0.6959636971578695,4369,4
2.0,0.82,0.6973967040840697,4379,2
2.0,0.83,0.6978743730594698,4382,2
2.0,0.84,0.6984316535307699,4386,1
2.0,0.85,0.6988297110102699,4389,0
2.0,0.86,0.6991481569938699,4391,0
2.0,0.87,0.6993073799856699,4392,0
2.0,0.88,0.6993073799856699,4392,0
2.0,0.89,0.69946660297747,4393,0
2.0,0.9,0.69946660297747,4393,0
2.0,0.91,0.69946660297747,4393,0
2.0,0.92,0.69946660297747,4393,0
2.0,0.93,0.69946660297747,4393,0
2.0,0.94,0.69946660297747,4393,0
2.0,0.95,0.69946660297747,4393,0
3.0,0.05,0.6477987421383647,0,8137
3.0,0.06,0.6445346708064644,0,8096
3.0,0.07,0.638961866093464,0,8026
3.0,0.08,0.630682270519863,0,7922
3.0,0.09,0.6231987899052623,2,7822
3.0,0.1,0.6169890932250617,4,7738
3.0,0.11,0.6118143459915611,6,7667
3.0,0.12,0.6083114401719608,10,7611
3.0,0.13,0.6036143619138603,16,7534
3.0,0.14,0.59995223310246,24,7464
3.0,0.15,0.5978823342090598,43,7381
3.0,0.16,0.5943794283894595,59,7289
3.0,0.17,0.590796911073959,74,7199
3.0,0.18,0.5885677891887588,89,7126
3.0,0.19,0.5849056603773585,101,7044
3.0,0.2,0.5811639200700581,114,6958
3.0,0.21,0.5775814027545577,124,6883
3.0,0.22,0.5747950003980575,137,6809
3.0,0.23,0.5709736485948571,147,6731
