page_url,franchise,is_named,infobox_field_count_clean,raw_is_dead,has_actor,tmdb_match,billing_order,episode_count,is_onscreen
https://james-camerons-avatar.fandom.com/wiki/Magnusson,Avatar,1,9,,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Buckland,Avatar,1,9,,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Nikiro,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/The_Shaman,Avatar,1,15,1.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Arutey,Avatar,1,13,1.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Ookmaya,Avatar,1,13,1.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Bilano,Avatar,1,13,1.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Deyshana,Avatar,1,13,1.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Shaman_of_Songs,Avatar,1,16,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Marshall_Lamm,Avatar,1,18,0.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/James_Ardmore,Avatar,1,11,1.0,0,1,10.0,,1
https://james-camerons-avatar.fandom.com/wiki/Marcia_De_Los_Santos,Avatar,1,10,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Kam_Demarco,Avatar,1,16,0.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Jaclyn_Ogden,Avatar,1,16,0.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Stevens,Avatar,1,16,0.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Venture_Star_Crew_Chief,Avatar,1,16,0.0,1,1,14.0,,1
https://james-camerons-avatar.fandom.com/wiki/Na'vi_Child,Avatar,1,17,0.0,1,1,32.0,,1
https://james-camerons-avatar.fandom.com/wiki/Tuktirey,Avatar,1,22,0.0,1,1,13.0,,1
https://james-camerons-avatar.fandom.com/wiki/Hegner,Avatar,1,14,1.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Ka'ani,Avatar,1,18,0.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Saeyla,Avatar,1,18,0.0,1,0,,,1
https://james-camerons-avatar.fandom.com/wiki/Takuk,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Atan,Avatar,1,14,1.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Nekawn,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Arvok,Avatar,1,15,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Artsut,Avatar,1,16,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Maru,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tur'itan,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Swin'ara,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Alira,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Nan'ti,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tsentey,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Vineya,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tioang,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Bibi_Levson,Avatar,1,10,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Zoey_Kung,Avatar,1,9,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Matthew_Hester,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Rick_Connors,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Eliza_Drennek,Avatar,1,9,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Zane_Madaki,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Kevin_Michaels,Avatar,1,9,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Alejandra_Castro,Avatar,1,9,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Nadine_Reza,Avatar,1,7,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Murat_Buldan,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Mason_Williams,Avatar,1,9,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Alexis_Riviera-Jones,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Trina_Shen,Avatar,1,9,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Victor_Morgado,Avatar,1,12,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Wei_Chang,Avatar,1,7,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Danielle_Casey,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Dele_Balogun,Avatar,1,7,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Nic_Alihatar,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Kirnat,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Makeyo,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Na'huk,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Seytawni,Avatar,1,11,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Katherine_Hale,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Chizue_Sakai,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Abel_Stojack,Avatar,1,9,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Omleki,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Kalun,Avatar,1,11,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Alar'at,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Volodin_Adrik,Avatar,1,9,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Ruk'e,Avatar,1,11,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Entok,Avatar,1,15,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Lunapey,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Neteyam,Avatar,1,23,1.0,1,1,12.0,,1
https://james-camerons-avatar.fandom.com/wiki/Lo'ak,Avatar,1,24,0.0,1,1,11.0,,1
https://james-camerons-avatar.fandom.com/wiki/Kiralu,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Rawm,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Vokan,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Zumkana,Avatar,1,11,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Ukawla,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Morang,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Sukal,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Maratu,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tsu'mong,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Avarin,Avatar,1,12,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Menari,Avatar,1,11,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Syura'ewan,Avatar,1,15,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Frances_Ardmore,Avatar,1,19,1.0,1,1,8.0,,1
https://james-camerons-avatar.fandom.com/wiki/Bill_Onozuki,Avatar,1,15,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Jeremiah_Smith,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Nasier_Dubois,Avatar,1,9,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Marcus_Freeman,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Valke,Avatar,1,11,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Syanan,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Maria_Leon,Avatar,1,7,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Angela_Henrick,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Kamath,Avatar,1,8,,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Txopu,Avatar,1,14,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Tonowari,Avatar,1,20,0.0,1,1,5.0,,1
https://james-camerons-avatar.fandom.com/wiki/Ryder_Masterson,Avatar,1,13,0.0,0,0,,,0
https://james-camerons-avatar.fandom.com/wiki/Neytep,Avatar,1,11,1.0,0,0,,,0
