term,coefficient
doctor,-0.1953600957839212
guard,-0.19564157585243191
order,-0.19938655802474226
based,-0.21071487964900842
makes,-0.21145019637130916
soon,-0.211642697453945
individual,-0.2415453777775503
left,-0.25359124476709205
eventually,-0.26447013264448976
hogwarts,-0.26892203830123584
work,-0.2714495008912631
serving,-0.27270311876813774
city,-0.2768032160418558
worked,-0.2783797393523111
general,-0.2838926519441342
chief,-0.2873126960665558
boy,-0.29499560783801176
fight,-0.2970308759027321
british,-0.30839247551585
states,-0.3265448786644386
billy,-0.3310818066533
human,-0.3426323699455665
individuals,-0.3562106279112881
use,-0.3588423804128502
year,-0.36021460567846597
tv,-0.3614993103568425
money,-0.3666935422443114
station,-0.3675584907038952
sister,-0.3703262948622829
agents,-0.37184051240986987
males,-0.38252266607824903
love,-0.38682567221321085
went,-0.3894052914817234
dr,-0.39011738243880695
anarchy,-0.4048125864474037
ser,-0.4090284808271648
jack,-0.4146727348469991
cage,-0.42974025121367987
united,-0.4313984450052531
inside,-0.4350291649977357
harry,-0.4594110320141565
took,-0.4612090009535792
unknown,-0.46912743015644753
relationship,-0.4718803481643773
got,-0.4725348788018567
called,-0.4755634888617599
night,-0.4886622070693263
battle,-0.4893622275783614
intelligence,-0.4938533344734142
joined,-0.5017257507931342
biography,-0.5051792362368127
child,-0.5119166302736151
officer,-0.5129841143458607
white,-0.5185530574165282
club,-0.5193240502643601
second,-0.5200720367626593
home,-0.5289898733085436
added,-0.5553935630386341
day,-0.5583168902074456
girl,-0.5658557329980741
following,-0.5690910463751819
red,-0.5756198055874605
assigned,-0.5760975939091847
role,-0.5868000151110453
lost,-0.5892108972542547
major,-0.5924635522047161
leave,-0.6030028551242343
attempted,-0.6090239476049063
career,-0.6203247851972087
met,-0.6220539347600748
pilot,-0.6282753114307322
trivia,-0.6297177588584207
mother,-0.6363349675190614
females,-0.6369397150833772
fx,-0.6473995501138666
help,-0.6533197626836511
service,-0.6645189986258422
arrived,-0.6699063018709455
time,-0.6709852341732048
minor,-0.6891063240312741
having,-0.691462369967151
jones,-0.6914907399543663
family,-0.6917153619654497
dexter,-0.6968145965575135
like,-0.705865164068368
came,-0.7096280582919675
powers,-0.7177145210055286
group,-0.7273420347865076
works,-0.7299706035026342
right,-0.7305620293508377
brought,-0.7349256889706417
party,-0.7356874329953109
portrayed,-0.749783287151743
said,-0.7679846701903138
indiana,-0.7767893606085011
appears,-0.7866343134979594
bond,-0.8026169037750687
asks,-0.8049542713231053
house,-0.8103013478587082
make,-0.8134709477575438
iron,-0.8222759516022958
did,-0.8337492627810841
friend,-0.8337927273233717
lord,-0.8394208989439115
planet,-0.870213890760457
better,-0.873427369488656
car,-0.8768197598016373
knight,-0.8815104547839887
abilities,-0.8822310540923012
new,-0.8838511410986682
wanted,-0.8954436062860625
room,-0.9042181731025309
friends,-0.9067584853329826
meeting,-0.9134870050656738
returned,-0.9155500561398043
daughter,-0.9179326755065949
brown,-0.9217689293634679
gallery,-0.9360141543527698
summary,-0.9404986268938141
galactic,-0.9511544192324752
episode,-0.9697292095275014
bby,-0.9892278321031518
appearances,-1.0014321375401325
royal,-1.0026329988507783
captain,-1.021683107088377
humans,-1.0284562183201609
police,-1.0306375760353954
seen,-1.0669257136611203
star,-1.1127944624055446
