season,part,character,cause_of_death,responsible_party,kill_points
1,,Three Unnamed Criminals,"The group was pursued by Shane and his fellow police officers along with the assistance of three officers from the Linden County Sheriff's Department until they were forced to stop. They engaged Shane, Rick and the remainder of the police force and were killed in the ensuing firefight before reanimating.",Shane Walsh Lambert Kendal Leon Basset,3 2 2
1,,Zombified - Summer,Shot in the head by Rick Grimes .,Rick Grimes,1
1,,Leon Basset,Died of unknown causes.,Unknown,
1,,Zombified - Leon Basset,Shot in the head by Rick Grimes .,Rick Grimes,1
1,,Zombified - Hannah,Shot in the head by Rick Grimes .,Rick Grimes,1
1,,Siggard Family Horse,Devoured by walkers .,Walkers,3
1,,Zombified - Wayne Dunlap,Beaten to death by T-Dog .,Theodore Douglas,1
1,,Ed Peletier,Devoured by walkers . Pick-axed repeatedly in the head to prevent reanimation by Carol Peletier .,Shane Walsh (Indirectly Caused) Walkers Carol Peletier (Before Reanimation),1 3 1
1,,Thirteen unnamed people Atlanta Camp Survivors,Devoured by walkers .,Walkers,20
1,,Amy Harrison,Bitten on the neck and arm by a walker .,Walker,1
1,,Zombified - Amy Harrison,Shot in the head by Andrea Harrison .,Andrea Harrison,1
1,,Jim,Bitten on the ribs by a walker and left to reanimate.,Walker,1
1,,Zombified - Dr. Candace Jenner,"After Candace was bitten, she agreed to let Edwin Jenner monitor the progression of the disease, until he ultimately had to shoot her after reanimation.",Dr. Edwin Jenner,1
1,,"Vi , Dr. Edwin Jenner , and Jacqui",Explosion.,Vi (Caused) Dr. Edwin Jenner (Caused) Jacqui (Suicide),3 3 1
2,Part 1 - 11 Deaths [ ],Sophia Peletier,Bitten on the left shoulder by a walker offscreen.,Walkers,1
2,Part 1 - 11 Deaths [ ],Otis,Shot in the leg by and left to be devoured by walkers .,Shane Walsh (Caused) Walkers,1 3
2,Part 1 - 11 Deaths [ ],Zombified - Louise Bush,Shot in the head by Shane Walsh .,Shane Walsh,1
2,Part 1 - 11 Deaths [ ],Zombified - Doug,Shot in the head by Shane Walsh .,Shane Walsh,1
2,Part 1 - 11 Deaths [ ],"Zombified - Lacey , Duncan , Mr. Fischer , Mrs. Fischer , Arnold Greene",Shot in the head by the Su rv iv or s.,Shane Walsh Theodore Douglas Andrea Harrison Daryl Dixon Glenn Rhee,5
2,Part 1 - 11 Deaths [ ],Zombified - Shawn Greene,Shot in the head.,Shane Walsh Theodore Douglas Andrea Harrison,1
2,Part 1 - 11 Deaths [ ],Zombified - Sophia Peletier,Shot in the head by Rick Grimes .,Rick Grimes,1
2,Part 2 - 11 Deaths [ ],Zombified - Annette Greene,Scythed through the head.,Andrea Harrison,1
2,Part 2 - 11 Deaths [ ],Dave,Shot in the head.,Rick Grimes,1
2,Part 2 - 11 Deaths [ ],Tony,Shot twice in the chest and head.,Rick Grimes,1
2,Part 2 - 11 Deaths [ ],Sean,Shot and devoured by walkers.,Hershel Greene (Caused) Walkers,1 2
2,Part 2 - 11 Deaths [ ],Dale Horvath,Disembowled by walker and then shot in head.,Carl Grimes (Indirectly Caused) Walker (Caused) Daryl Dixon (Out of Mercy),1
2,Part 2 - 11 Deaths [ ],Alive and Zombified - Randall Culver,Neck broken by Shane and later slashed in the head by Glenn .,Shane Walsh (Alive) Glenn Rhee (Zombified),1
2,Part 2 - 11 Deaths [ ],Shane Walsh,Stabbed in the chest.,Rick Grimes,1
2,Part 2 - 11 Deaths [ ],Zombified - Shane Walsh,Shot in the head.,Carl Grimes,1
2,Part 2 - 11 Deaths [ ],Jimmy,Devoured by walkers and burned in fire.,Walkers,3
2,Part 2 - 11 Deaths [ ],Patricia,Devoured by walkers.,Walkers,3
3,Part 1 - 31 Deaths [ ],Big Tiny,Head bashed in repeatedly.,Walkers (Caused) Tomas,1
3,Part 1 - 31 Deaths [ ],Tomas,Slashed in the head with a machete.,Rick Grimes,1
3,Part 1 - 31 Deaths [ ],Sean,Helicopter crash.,Helicopter Blade,1
3,Part 1 - 31 Deaths [ ],Franklin,Helicopter crash then stabbed in the head before reanimation.,Helicopter crash The Governor (Before Reanimation),1
3,Part 1 - 31 Deaths [ ],Zombified - Sean,Stabbed in the head.,The Governor,1
3,Part 1 - 31 Deaths [ ],Brady,Shot in the shoulder and head bashed in.,The Governor,1
3,Part 1 - 31 Deaths [ ],Six unnamed people - National Guardsmen,Shot twice.,Philip Blake (Caused) Merle Dixon Caesar Martinez Shumpert Crowley Tim,6
3,Part 1 - 31 Deaths [ ],Wilson,Shot multiple times.,Philip Blake (Caused) Merle Dixon Caesar Martinez Shumpert Crowley Tim,1
3,Part 1 - 31 Deaths [ ],Lieutenant Welles,Decapitated.,The Governor (Direct or Caused),1
3,Part 1 - 31 Deaths [ ],T-Dog,Bitten on the right shoulder and later devoured by walkers.,Andrew (Caused) Walkers,1 2
3,Part 1 - 31 Deaths [ ],Andrew,Shot in the head.,Oscar,1
3,Part 1 - 31 Deaths [ ],Lori Grimes,"Bloodloss due to emergency Caesarean section, then shot in the head before reanimation.",Andrew (Caused) Judith Grimes (Blood Loss During Childbirth) Maggie Greene (Due to caesarean section) Carl Grimes (Before Reanimation),1
3,Part 1 - 31 Deaths [ ],Crowley,"Decapitated, then stabbed in the head before reanimation.",Michonne Hawthorne Gargulio (Before Reanimation),1
3,Part 1 - 31 Deaths [ ],Tim,"Stabbed through the chest and shot in the back, then stabbed in the head before reanimation.",Michonne Hawthorne (Caused) Merle Dixon (Alive and Before Reanimation),1 2
3,Part 1 - 31 Deaths [ ],Gargulio,Shot in the head.,Merle Dixon,1
3,Part 1 - 31 Deaths [ ],Unnamed Hermit,Stabbed through the chest and pushed into walkers.,Michonne Hawthorne Walkers,1 3
3,Part 1 - 31 Deaths [ ],Michael Coleman,Prostate Cancer.,Cancer,
3,Part 1 - 31 Deaths [ ],Zombified - Michael Coleman,Stabbed in the head.,Andrea Harrison,1
3,Part 1 - 31 Deaths [ ],Warren,Stabbed in the throat.,Maggie Greene,1
3,Part 1 - 31 Deaths [ ],Donna,"Bitten on the arm, died of blood loss, then was smashed in the head with a hammer before reanimation.",Walker Tyreese (Before Reanimation),1 1
3,Part 1 - 31 Deaths [ ],Four unnamed people - Woodbury Army,Shot to death.,Rick Grimes Daryl Dixon,2 2
3,Part 1 - 31 Deaths [ ],Oscar,"Shot in the ribs, then in the head before reanimation.",Woodbury Army Maggie Greene (Before Reanimation),1
3,Part 1 - 31 Deaths [ ],Zombified - Penny Blake,Stabbed through the back of the head.,Michonne Hawthorne,1
3,Part 2 - 49 Deaths [ ],Haley,Shot in the chest.,Maggie Greene,1
3,Part 2 - 49 Deaths [ ],Richard Foster,"Bitten on the arm, then shot in the head.",Walkers The Governor (Out of Mercy),2 1
3,Part 2 - 49 Deaths [ ],Axel,Shot in the head.,The Governor,1
3,Part 2 - 49 Deaths [ ],Unnamed Woodbury Soldier,Shot to death.,Maggie Greene,1
3,Part 2 - 49 Deaths [ ],Zombified - Erin,Shot in the head.,Rick Grimes,1
3,Part 2 - 49 Deaths [ ],Unnamed Hitchhiker,Devoured by walkers.,Walkers,3
3,Part 2 - 49 Deaths [ ],Seven unnamed people - Woodbury Army,Shot and devoured by walkers.,Merle Dixon Walkers,7 21
3,Part 2 - 49 Deaths [ ],Ben,Shot in the shoulder and later devoured.,Merle Dixon (Accidental),1
3,Part 2 - 49 Deaths [ ],Merle Dixon,Shot in the chest.,The Governor,1
3,Part 2 - 49 Deaths [ ],Zombified - Merle Dixon,Stabbed repeatedly in the head.,Daryl Dixon,1
3,Part 2 - 49 Deaths [ ],Milton Mamet,Stabbed repeatedly in the abdomen.,The Governor,1
3,Part 2 - 49 Deaths [ ],Jody,Shot in the head.,Carl Grimes,1
3,Part 2 - 49 Deaths [ ],Paul,Shot through the back.,The Governor,1
3,Part 2 - 49 Deaths [ ],"Twenty-two unnamed people - Woodbury Soldiers (including Noah , and possibly Betty Coleman , Eileen , Mrs. Foster , Pete , Robbie , Rowan , and Dr. Stevens )",Shot multiple times.,The Governor,22
3,Part 2 - 49 Deaths [ ],Allen,Shot in the head.,The Governor,1
3,Part 2 - 49 Deaths [ ],Zombified - Milton Mamet,Stabbed in the head.,Andrea Harrison,1
3,Part 2 - 49 Deaths [ ],Andrea Harrison,"Bitten on the neck by a Zombified Milton, and then shoots herself to prevent reanimation.",The Governor (Caused) Milton Mamet (Infected) Herself (Before Reanimation),1
4,Part 1 - 79 Deaths [ ],Zach,Bitten and crushed by helicopter.,Bob Stookey (Indirectly Caused) Walkers,1
4,Part 1 - 79 Deaths [ ],Clara,Stabbed herself in stomach.,Herself (Suicide),1
4,Part 1 - 79 Deaths [ ],Violet,Succumbed to the flu.,Unknown Flu,1
4,Part 1 - 79 Deaths [ ],Zombified - Nick,Died of unknown causes,"Chloe , Karen , David and Henry",1
4,Part 1 - 79 Deaths [ ],Patrick and Charlie,Succumbed to the flu.,Unknown Flu,2
4,Part 1 - 79 Deaths [ ],Greg,Devoured by a zombified Patrick.,Unknown Flu (Caused) Patrick (Infected),1
4,Part 1 - 79 Deaths [ ],Five unnamed people - Prison Camp Survivors,Bitten/Flu.,Unknown Flu (Caused) Patrick (Infected) Sasha (Before Reanimation) Glenn Rhee (Before Reanimation),0 0 2 3
4,Part 1 - 79 Deaths [ ],Owen,Bitten.,Unknown Flu (Caused) Patrick (Infected),0
4,Part 1 - 79 Deaths [ ],Unnamed Resident,Bitten and stabbed in the head by Rick.,Unknown Flu (Caused) Rick Grimes (Before Reanimation),1
4,Part 1 - 79 Deaths [ ],Chloe,Bitten.,Unknown Flu (Caused) Patrick (Infected),1
4,Part 1 - 79 Deaths [ ],Zombified - Greg,Shot in the head with a crossbow bolt.,Daryl Dixon,1
4,Part 1 - 79 Deaths [ ],Zombified - Patrick,Shot in the head with a crossbow bolt.,Daryl Dixon,1
4,Part 1 - 79 Deaths [ ],Zombified - Charlie,Stabbed in the head.,Rick Grimes,1
4,Part 1 - 79 Deaths [ ],Ryan Samuels,Bitten on the arm and nape and stabbed in the head before reanimation.,"Unknown Flu (Caused) Patrick (Infected, Caused) Walkers Carol Peletier (Before Reanimation)",1
4,Part 1 - 79 Deaths [ ],"Bandit, Truffle, and Porkchop",Arteries cut and left to be devoured by walkers.,Rick Grimes (Caused) Walkers,3 9
4,Part 1 - 79 Deaths [ ],Karen and David,Stabbed in the head and later burned.,Unknown Flu (Caused) Carol Peletier,2
4,Part 1 - 79 Deaths [ ],Unnamed Prison Newcomer,Succumbed to the flu.,Unknown Flu Caleb Subramanian (Before Reanimation),0
4,Part 1 - 79 Deaths [ ],Unnamed Prison Newcomer,Succumbed to the flu.,Unknown Flu,0
4,Part 1 - 79 Deaths [ ],Ana,Leg chopped off and later devoured by walkers.,Walkers,2
4,Part 1 - 79 Deaths [ ],Mr. Jacobson,Succumbed to the flu.,Unknown Flu,0
4,Part 1 - 79 Deaths [ ],Zombified - Mr. Jacobson,Stabbed in the head.,Glenn Rhee,1
4,Part 1 - 79 Deaths [ ],Two unnamed people - Prison Camp Survivors,Succumbed to the flu.,Unknown Flu,0
4,Part 1 - 79 Deaths [ ],Unnamed Prison Newcomer,Succumbed to the flu.,Unknown Flu Hershel Greene (Before Reanimation),1
4,Part 1 - 79 Deaths [ ],Henry,Succumbed to the flu.,Unknown Flu,0
4,Part 1 - 79 Deaths [ ],Noris,Bitten on the arm and in the neck by his zombified son.,Unknown Flu (Caused) Walkers,1 1
4,Part 1 - 79 Deaths [ ],Owen's Mother,Shot in the chest.,Noris,1
4,Part 1 - 79 Deaths [ ],Caleb Subramanian,Succumbed to the flu.,Unknown Flu,0
4,Part 1 - 79 Deaths [ ],Zombified - Caleb Subramanian,Stabbed in the head.,Hershel Greene,1
4,Part 1 - 79 Deaths [ ],Zombified - Noris,Shot in the head.,Maggie Greene,1
4,Part 1 - 79 Deaths [ ],Zombified - Henry,Shot in the head.,Maggie Greene,1
4,Part 1 - 79 Deaths [ ],Zombified - Bill Jenkins,Stabbed in the head.,The Governor,1
4,Part 1 - 79 Deaths [ ],David Chambler,Died of lung cancer.,Cancer,0
4,Part 1 - 79 Deaths [ ],Zombified - David Chambler,Head bashed in with an oxygen tank.,The Governor,1
4,Part 1 - 79 Deaths [ ],Caesar Martinez,Hit in the head and fed to walkers.,Philip Blake (Caused) Walkers,1 3
4,Part 1 - 79 Deaths [ ],Nine unnamed people,Slashed to death.,Unknown people,8
4,Part 1 - 79 Deaths [ ],Unnamed Old Man,Slashed and later stabbed in the head.,Unknown people (Caused) Mitch Dolgen,1
4,Part 1 - 79 Deaths [ ],Pete Dolgen,Stabbed in the back and strangled to death.,The Governor,1
4,Part 1 - 79 Deaths [ ],Meghan Chambler,Bitten on the right shoulder and later shot in the head before reanimation.,Walkers The Governor (Before Reanimation),1
4,Part 1 - 79 Deaths [ ],Hershel Greene,Decapitated.,The Governor,1
4,Part 1 - 79 Deaths [ ],Sixteen unnamed people - Martinez's Group,Shot.,Julio Daryl Dixon Tyreese Sasha Carl Grimes Maggie Greene Bob Stookey Lizzie Samuels Michonne Hawthorne,1 5 2 2 1 1 2 2 1
4,Part 1 - 79 Deaths [ ],Julio,Shot to death.,The Governor's Militia,1
4,Part 1 - 79 Deaths [ ],Alisha,Shot in the head.,Lizzie Samuels,1
4,Part 1 - 79 Deaths [ ],Mitch Dolgen,Shot in the chest with a crossbow bolt.,Daryl Dixon,1
4,Part 1 - 79 Deaths [ ],The Governor,"Stabbed through the chest, and later shot in the head.",Michonne Hawthorne (Caused) Lilly Chambler,1
4,Part 2 - 31 Deaths [ ],Flame,Devoured by walkers.,Walkers,3
4,Part 2 - 31 Deaths [ ],Zombified - Hershel Greene,Stabbed in the head.,Michonne Hawthorne,1
4,Part 2 - 31 Deaths [ ],Zombified - Joe Sr.,Shot in the head.,Carl Grimes,1
4,Part 2 - 31 Deaths [ ],Christopher,Devoured by walkers.,Walkers,2
4,Part 2 - 31 Deaths [ ],Christopher's Father,Bitten on the neck and later stabbed in the head by Beth.,Walkers Beth Greene (Zombified),1
4,Part 2 - 31 Deaths [ ],Zombified - Achey Woman,Stabbed in the head.,Walkers Maggie Greene,1 1
4,Part 2 - 31 Deaths [ ],Zombified - Ten Unnamed Prison Survivors,Stabbed or shot in the head.,Unknown Flu (Caused) Maggie Greene Bob Stookey Sasha Williams,10 5 2 3
4,Part 2 - 31 Deaths [ ],Zombified - Sick Teenager,Stabbed in the head.,Unknown Flu (Caused) Maggie Greene,1 1
4,Part 2 - 31 Deaths [ ],Lilly Chambler,Tara reveals to Glenn that she was surrounded and killed by walkers.,Walkers,1 3
4,Part 2 - 31 Deaths [ ],Lou,Strangled to death. (Alive) Killed by a member of the Claimers (Zombified) .,Rick Grimes The Claimers (Zombified),1
4,Part 2 - 31 Deaths [ ],Mika Samuels,Stabbed to death.,Lizzie Samuels (Alive) Carol Peletier (Before Reanimation),1
4,Part 2 - 31 Deaths [ ],Lizzie Samuels,Shot in the head.,Carol Peletier,1
4,Part 2 - 31 Deaths [ ],Len,Beaten to death and shot in the head with an arrow.,The Claimers,1
4,Part 2 - 31 Deaths [ ],Unnamed Man,Devoured by walkers.,Walkers,3
4,Part 2 - 31 Deaths [ ],Joe,Neck bitten and jugular ripped out.,Rick Grimes,1
4,Part 2 - 31 Deaths [ ],Tony,Shot in the head.,Michonne Hawthorne,1
4,Part 2 - 31 Deaths [ ],Harley,Shot in the head.,Michonne Hawthorne,1
4,Part 2 - 31 Deaths [ ],Billy,Curb stomped.,Daryl Dixon,1
4,Part 2 - 31 Deaths [ ],Dan,Stabbed repeatedly.,Rick Grimes,1
4,Part 2 - 31 Deaths [ ],Alex,Shot in the head.,Gareth (Indirectly Caused) Rick Grimes (Indirectly Caused) Unnamed Terminus Resident (Accidental),1
5,Part 1 - 34 Deaths [ ],Sam,Throat slit.,Terminus Butcher Terminus Butcher (Caused) Gareth (Caused),1
5,Part 1 - 34 Deaths [ ],African-American Hostage,Throat slit.,Terminus Butcher Terminus Butcher (Caused) Gareth (Caused),1
5,Part 1 - 34 Deaths [ ],2 Hostages,Throats slit.,Terminus Butcher Terminus Butcher (Caused) Gareth (Caused),2
5,Part 1 - 34 Deaths [ ],Terminus Resident,Devoured by walkers.,Walkers Carol (Caused),1
5,Part 1 - 34 Deaths [ ],Terminus Resident,Devoured by walkers.,Walkers Carol (Caused),1
5,Part 1 - 34 Deaths [ ],Terminus Butcher,Stabbed in the neck.,Rick Grimes,1
5,Part 1 - 34 Deaths [ ],Terminus Butcher,Stabbed in the neck.,Rick Grimes,1
5,Part 1 - 34 Deaths [ ],Terminus Resident,Shot in the head.,Carol,1
5,Part 1 - 34 Deaths [ ],Terminus Resident,Shot multiple times.,Carol,1
5,Part 1 - 34 Deaths [ ],Crazed Man,Devoured by walkers and bashed in the head to prevent reanimation.,Walkers Carol (Caused) Glenn Rhee (Before Reanimation),1
5,Part 1 - 34 Deaths [ ],Mary,Devoured by walkers.,Walkers Carol (Caused),1
5,Part 1 - 34 Deaths [ ],Terminus Resident,Killed by Rick.,Rick Grimes,1
5,Part 1 - 34 Deaths [ ],4 Terminus Residents,Shot and devoured by walkers.,Walkers Rick Grimes (Caused),3
5,Part 1 - 34 Deaths [ ],Terminus Resident,Shot and devoured by walkers.,Walkers Rick Grimes (Caused),1
5,Part 1 - 34 Deaths [ ],Mike,Shot in the head.,Rick Grimes,1
5,Part 1 - 34 Deaths [ ],Albert,Shot in the head.,Rick Grimes,1
5,Part 1 - 34 Deaths [ ],Gareth,Hacked to death.,Rick Grimes,1
5,Part 1 - 34 Deaths [ ],Theresa,Beaten to death.,Michonne Hawthorne,1
5,Part 1 - 34 Deaths [ ],Greg,Beaten to death.,Abraham Ford,1
5,Part 1 - 34 Deaths [ ],Martin,Stabbed to death and later put down before reanimation off-screen.,Sasha Williams Tyreese Williams (Before Reanimation),1
5,Part 1 - 34 Deaths [ ],Bob Stookey,"Bitten on the right shoulder, died of the infection and stabbed in the head before reanimation.",Walker Tyreese Williams (Before Reanimation),1 1
5,Part 1 - 34 Deaths [ ],Dying Man,Turned off his life support and stabbed in the head to prevent reanimation.,Steven Edwards Dawn Lerner (Caused),1
5,Part 1 - 34 Deaths [ ],Gavin Trevitt,"Injected with clozapine medication, later stabbed in the head by Dawn.",Beth Greene (Accidental) Steven Edwards (Caused) Dawn Lerner (Before Reanimation),1
5,Part 1 - 34 Deaths [ ],Joan,"Cutting open her own stitches, allowing herself to bleed out.",Herself (Suicide),1
5,Part 1 - 34 Deaths [ ],Gorman,Devoured by a zombified Joan.,Joan (Infected) Beth Greene (Caused) Dawn Lerner (Before Reanimation),1
5,Part 1 - 34 Deaths [ ],Jeffries,"Devoured by a zombified Joan, later put down.",Joan (Infected) Beth Greene (Indirectly Caused) Dawn Lerner (Before Reanimation),1
5,Part 1 - 34 Deaths [ ],Zombified - Joan,Put down by Dawn.,Dawn Lerner,1
5,Part 1 - 34 Deaths [ ],Bob Lamson,Hit with a car and shot in the head.,Rick Grimes,1
5,Part 1 - 34 Deaths [ ],O'Donnell,Pushed down an elevator shaft.,Beth Greene Dawn Lerner (Caused),1
